College,Year,Asian,Black or African American,Hispanic,White,"Native Hawaiian or Other Pacific Islander, American Indian or Alaska Native",Two or more races,Unknown race and ethnicity,U.S. Nonresident
Amherst College,2010,0.109,0.125,0.131,0.42,0.0,0.057,0.068,0.09
Amherst College,2011,0.108,0.124,0.137,0.436,0.0,0.056,0.061,0.078
Amherst College,2012,0.145,0.104,0.117,0.406,0.004,0.052,0.069,0.104
Amherst College,2013,0.131,0.122,0.135,0.423,0.0,0.056,0.039,0.094
Amherst College,2014,0.139,0.126,0.132,0.416,0.013,0.036,0.036,0.102
Amherst College,2015,0.14,0.105,0.136,0.451,0.002,0.057,0.019,0.09
Amherst College,2016,0.155,0.113,0.144,0.427,0.006,0.053,0.021,0.081
Amherst College,2017,0.144,0.104,0.115,0.465,0.008,0.064,0.019,0.081
Amherst College,2018,0.163,0.098,0.128,0.419,0.006,0.093,0.024,0.069
Amherst College,2019,0.14,0.104,0.14,0.396,0.009,0.057,0.04,0.113
Amherst College,2020,0.164,0.108,0.166,0.362,0.002,0.065,0.002,0.131
Amherst College,2021,0.144,0.119,0.173,0.358,0.002,0.08,0.008,0.117
Amherst College,2022,0.122,0.105,0.161,0.375,0.004,0.099,0.015,0.12
Amherst College,2023,0.186,0.109,0.123,0.34,0.0,0.096,0.018,0.127
Amherst College,2024,0.2,0.03,0.08,0.39,0.0,0.08,0.07,0.16
Bates College,2010,0.061,0.073,0.03,0.741,0.01,0.0,0.024,0.061
Bates College,2011,0.044,0.038,0.064,0.729,0.004,0.044,0.022,0.056
Bates College,2012,0.034,0.024,0.054,0.744,0.0,0.044,0.024,0.078
Bates College,2013,0.06,0.078,0.074,0.684,0.002,0.036,0.002,0.064
Bates College,2014,0.035,0.043,0.079,0.723,0.0,0.049,0.006,0.065
Bates College,2015,0.033,0.054,0.087,0.7,0.004,0.043,0.0,0.079
Bates College,2016,0.04,0.042,0.11,0.689,0.0,0.048,0.0,0.07
Bates College,2017,0.045,0.055,0.049,0.727,0.002,0.039,0.006,0.076
Bates College,2018,0.044,0.046,0.066,0.698,0.0,0.055,0.011,0.079
Bates College,2019,0.066,0.064,0.072,0.635,0.006,0.07,0.004,0.082
Bates College,2020,0.046,0.048,0.092,0.641,0.002,0.084,0.002,0.086
Bates College,2021,0.065,0.058,0.081,0.618,0.005,0.071,0.004,0.098
Bates College,2022,0.073,0.027,0.098,0.614,0.002,0.085,0.008,0.093
Bates College,2023,0.073,0.04,0.073,0.61,0.004,0.087,0.008,0.105
Bates College,2024,0.067,0.047,0.118,0.578,0.0,0.094,0.002,0.094
Berea College,2010,0.014,0.133,0.026,0.688,0.007,0.054,0.026,0.054
Berea College,2011,0.017,0.182,0.029,0.629,0.0,0.062,0.019,0.062
Berea College,2012,0.01,0.146,0.049,0.647,0.003,0.069,0.01,0.066
Berea College,2013,0.008,0.151,0.05,0.645,0.01,0.055,0.01,0.071
Berea College,2014,0.012,0.168,0.096,0.584,0.0,0.065,0.01,0.065
Berea College,2015,0.009,0.157,0.113,0.572,0.005,0.06,0.012,0.072
Berea College,2016,0.029,0.153,0.12,0.536,0.0,0.086,0.007,0.069
Berea College,2017,0.021,0.176,0.12,0.542,0.007,0.076,0.002,0.056
Berea College,2018,0.025,0.183,0.114,0.527,0.0,0.089,0.005,0.057
Berea College,2019,0.024,0.169,0.128,0.508,0.002,0.092,0.002,0.073
Berea College,2020,0.031,0.146,0.183,0.536,0.0,0.098,0.003,0.003
Berea College,2021,0.047,0.201,0.139,0.459,0.003,0.098,0.006,0.047
Berea College,2022,0.04,0.196,0.165,0.455,0.0,0.071,0.006,0.068
Berea College,2023,0.036,0.208,0.155,0.426,0.0,0.087,0.007,0.08
Berea College,2024,0.04,0.187,0.167,0.443,0.0,0.062,0.005,0.097
Boston College,2010,0.096,0.051,0.118,0.57,0.002,0.026,0.102,0.035
Boston College,2011,0.08,0.031,0.104,0.606,0.0,0.026,0.104,0.048
Boston College,2012,0.111,0.043,0.119,0.595,0.0,0.028,0.055,0.048
Boston College,2013,0.103,0.037,0.093,0.62,0.001,0.029,0.052,0.065
Boston College,2014,0.087,0.031,0.086,0.663,0.001,0.033,0.037,0.062
